iter	Logloss
0	0.6596590916
1	0.6287252561
2	0.6001621269
3	0.5737927388
4	0.5494677742
5	0.5270266851
6	0.5063732432
7	0.4870312251
8	0.4689498358
9	0.4527342255
10	0.4378203685
11	0.4235799906
12	0.4108996263
13	0.3991797801
14	0.387999724
15	0.3778358972
16	0.36826023
17	0.3596045962
18	0.3514748833
19	0.3441555231
20	0.337302253
21	0.3309087216
22	0.324979705
23	0.31955955
24	0.3144570889
25	0.3098738597
26	0.3056001992
27	0.3016040866
28	0.2978745863
29	0.2944361708
30	0.2911280247
31	0.2881136255
32	0.2853438307
33	0.2827252133
34	0.2803675846
35	0.278093511
36	0.2759983528
37	0.2740459502
38	0.2723249584
39	0.2706262767
40	0.2690557455
41	0.2676079985
42	0.2663311706
43	0.2650929839
44	0.2639171057
45	0.262764108
46	0.2618142045
47	0.2608902797
48	0.2599153819
49	0.2591365917
50	0.2582022014
51	0.2574463738
52	0.2567634017
53	0.2560512587
54	0.2554278867
55	0.2548227928
56	0.2543143997
57	0.2538232213
58	0.2533669666
59	0.2529612354
60	0.2524013415
61	0.2519837329
62	0.2514735082
63	0.2509996961
64	0.2506164743
65	0.2503097709
66	0.2500228703
67	0.2497129119
68	0.2493795384
69	0.2491410639
70	0.2489056705
71	0.2486342653
72	0.2483726365
73	0.2481818588
74	0.2479365
75	0.2477584387
76	0.2476026099
77	0.2474517131
78	0.2473077272
79	0.2470805694
80	0.2469346281
81	0.2468170958
82	0.2467040926
83	0.2464900207
84	0.2463586409
85	0.2462463975
86	0.2461510676
87	0.2459767117
88	0.245861319
89	0.2457695171
90	0.2456687614
91	0.2455482688
92	0.2454580438
93	0.2453891184
94	0.245321678
95	0.2452187249
96	0.2451301379
97	0.2450687871
98	0.2449908283
99	0.2449364566
100	0.2448725416
101	0.2448079947
102	0.2447410291
103	0.2446833001
104	0.2446128885
105	0.2445595761
106	0.2445007481
107	0.2444033897
108	0.2443234529
109	0.2442775293
110	0.2442354133
111	0.2441813124
112	0.2440346709
113	0.243997707
114	0.2439568117
115	0.243909287
116	0.2438705691
117	0.2438282743
118	0.2437942177
119	0.2435510386
120	0.2435134044
121	0.2434875336
122	0.2434417934
123	0.2433835736
124	0.2433117188
125	0.2432734579
126	0.2432526159
127	0.243156472
128	0.2431277402
129	0.2430974713
130	0.2430716399
131	0.2430438894
132	0.2430146262
133	0.2429820297
134	0.2429499727
135	0.2429179873
136	0.2428876543
137	0.242826137
138	0.2427861943
139	0.2427524026
140	0.2427291908
141	0.2427016117
142	0.2426715091
143	0.242643326
144	0.2426174726
145	0.2425960009
146	0.2425212221
147	0.2425021544
148	0.2424809591
149	0.2424464321
150	0.2424303567
151	0.2422518759
152	0.2422342851
153	0.2422093015
154	0.2421921672
155	0.2421763157
156	0.2421398655
157	0.2421141369
158	0.2420882728
159	0.2420614708
160	0.2420329087
161	0.2420208461
162	0.2419983386
163	0.2419707788
164	0.241884503
165	0.2418699761
166	0.2418522196
167	0.2418313431
168	0.2418178889
169	0.2417958425
170	0.2417867712
171	0.2417735293
172	0.2417563635
173	0.241738832
174	0.2417248504
175	0.2417094768
176	0.2416802715
177	0.2416663777
178	0.2416536372
179	0.2416220554
180	0.241613316
181	0.2415987016
182	0.2415906585
183	0.241573742
184	0.2415539335
185	0.2415435149
186	0.2415310547
187	0.2415131558
188	0.2415047297
189	0.2414918895
190	0.241464796
191	0.2414579864
192	0.2414426156
193	0.2414234127
194	0.2414062448
195	0.2413772647
196	0.2413583329
197	0.2413478216
198	0.2413394371
199	0.2413319871
200	0.2413105032
201	0.2412984636
202	0.2412794927
203	0.241266639
204	0.2412552467
205	0.2412404106
206	0.2412320883
207	0.2412153787
208	0.2411937711
209	0.2411788609
210	0.241158825
211	0.2411474211
212	0.2411212597
213	0.241107171
214	0.241077491
215	0.241066403
216	0.2410488528
217	0.2410217869
218	0.2410055495
219	0.2409835116
220	0.2409683861
221	0.2409549686
222	0.2409495531
223	0.2409313978
224	0.2409159096
225	0.2408888794
226	0.2408428797
227	0.2408295775
228	0.2408164591
229	0.2408064391
230	0.2407893047
231	0.2407767911
232	0.2407619276
233	0.2407493087
234	0.2407327483
235	0.2407106853
236	0.240701405
237	0.2406867857
238	0.2406722451
239	0.2406604307
240	0.2406453579
241	0.2406312369
242	0.2406258916
243	0.2406126522
244	0.2405970087
245	0.2405802314
246	0.2405570828
247	0.24053998
248	0.2405257251
249	0.2405169333
250	0.2404639859
251	0.2404463602
252	0.2404353041
253	0.2404155147
254	0.2404070836
255	0.2403918523
256	0.2403856021
257	0.2403711287
258	0.2403607687
259	0.2403438863
260	0.2403338379
261	0.2402769645
262	0.2402653987
263	0.2402180962
264	0.2402039729
265	0.2401934663
266	0.2401869349
267	0.2401735133
268	0.240160746
269	0.2401538826
270	0.2401447947
271	0.2401216022
272	0.2401024276
273	0.240092437
274	0.2400843998
275	0.2400798324
276	0.240072849
277	0.2400626096
278	0.24005286
279	0.2400379867
280	0.2400250013
281	0.2400167166
282	0.2399998693
283	0.2399795246
284	0.2399723612
285	0.2399631014
286	0.239951215
287	0.2399454837
288	0.2399322488
289	0.2399144862
290	0.2399074083
291	0.2398888027
292	0.239875095
293	0.2398675351
294	0.2398398941
295	0.2398243886
296	0.2398136695
297	0.2398070761
298	0.2397991503
299	0.2397863495
300	0.2397739664
301	0.2397676484
302	0.2397527944
303	0.2397456018
304	0.2397328178
305	0.2397150589
306	0.2397092568
307	0.2396997321
308	0.239686486
309	0.2396808038
310	0.2396719216
311	0.2396578699
312	0.2396502967
313	0.2395885175
314	0.2395812281
315	0.2395764019
316	0.2395677887
317	0.2395539196
318	0.2395481777
319	0.2395402641
320	0.2395320208
321	0.2395203091
322	0.2394959038
323	0.2394918144
324	0.2394830329
325	0.2394709693
326	0.2394610894
327	0.2394528168
328	0.2394441101
329	0.2394316284
330	0.2394135668
331	0.2394050648
332	0.239395313
333	0.2393841411
334	0.2393714204
335	0.2393679039
336	0.2393580232
337	0.239349563
338	0.2393421626
339	0.2393286106
340	0.2393188634
341	0.2393040842
342	0.239297734
343	0.2392856429
344	0.239276706
345	0.2392712691
346	0.2392639776
347	0.2392510977
348	0.239239691
349	0.2392298713
350	0.2392214778
351	0.2392164044
352	0.2392043664
353	0.2391872633
354	0.2391758193
355	0.2391661209
356	0.23915437
357	0.2391393114
358	0.2391270094
359	0.2391134984
360	0.2391037393
361	0.2390949979
362	0.239088081
363	0.2390654814
364	0.2390440483
365	0.2390404244
366	0.2390298916
367	0.2390208037
368	0.2390098097
369	0.2390008669
370	0.2389941541
371	0.2389886956
372	0.2389767689
373	0.2389719788
374	0.2389584636
375	0.2389442642
376	0.2389307829
377	0.2389174934
378	0.2389030134
379	0.2388919279
380	0.2388836317
381	0.2388783383
382	0.2388672803
383	0.2388535888
384	0.2388433924
385	0.2388357238
386	0.2388206628
387	0.2388046304
388	0.2387998215
389	0.2387902495
390	0.2387821047
391	0.2387702677
392	0.2387566246
393	0.2387487041
394	0.238736886
395	0.2387263508
396	0.2387205724
397	0.2387093403
398	0.2386967618
399	0.2386903476
400	0.2386815484
401	0.2386760676
402	0.238664263
403	0.2386580392
404	0.2386435246
405	0.238627313
406	0.2386100857
407	0.2385981232
408	0.2385825853
409	0.2385700766
410	0.2385612985
411	0.238555696
412	0.2385425954
413	0.2385345225
414	0.2385254034
415	0.2385188344
416	0.2385112544
417	0.2385046224
418	0.2384924364
419	0.2384781864
420	0.2384641164
421	0.2384518658
422	0.2384436099
423	0.2384304758
424	0.2384184442
425	0.2384091824
426	0.2384014389
427	0.2383961996
428	0.2383795059
429	0.2383675937
430	0.2383636958
431	0.238350536
432	0.2383443431
433	0.2383370873
434	0.2383192788
435	0.2383131235
436	0.2383007754
437	0.238272397
438	0.2382670778
439	0.2382517517
440	0.238242105
441	0.2382249312
442	0.238216187
443	0.2382057297
444	0.2381874426
445	0.2381764643
446	0.2381615091
447	0.2381558296
448	0.2381447059
449	0.2381370311
450	0.2381323785
451	0.2381261899
452	0.2381186207
453	0.2381119705
454	0.2381055374
455	0.2380938757
456	0.2380838995
457	0.2380697004
458	0.2380593083
459	0.2380437759
460	0.2380322342
461	0.2380213121
462	0.2380152952
463	0.2380056383
464	0.2379952292
465	0.2379825532
466	0.2379768212
467	0.2379654925
468	0.2379535588
469	0.2379446316
470	0.2379354798
471	0.2379209217
472	0.2379130365
473	0.2378977197
474	0.2378891321
475	0.2378799051
476	0.2378646899
477	0.2378481794
478	0.2378406692
479	0.2378346492
480	0.2378188467
481	0.2378117683
482	0.2377978876
483	0.2377881166
484	0.2377781265
485	0.2377707673
486	0.2377616069
487	0.2377517002
488	0.2377378948
489	0.2377322743
490	0.2377244962
491	0.2377154046
492	0.2377042323
493	0.2376962887
494	0.2376823009
495	0.2376667222
496	0.2376498505
497	0.2376399634
498	0.2376321223
499	0.2376182498
500	0.2376071491
501	0.2375973939
502	0.237587393
503	0.2375753446
504	0.2375637024
505	0.2375545766
506	0.2375483671
507	0.2375446109
508	0.2375308862
509	0.2375153331
510	0.2374941638
511	0.2374797527
512	0.2374667804
513	0.2374578753
514	0.2374487106
515	0.2374367423
516	0.2374257024
517	0.2374180923
518	0.2374055407
519	0.2374020848
520	0.237392315
521	0.2373752966
522	0.2373257288
523	0.2373153496
524	0.237302742
525	0.2372901767
526	0.237281657
527	0.23727206
528	0.2372585829
529	0.237246706
530	0.237232249
531	0.2372207207
532	0.2372098961
533	0.2372019882
534	0.2371699054
535	0.2371622821
536	0.2371462437
537	0.2371364354
538	0.2371200034
539	0.2371063735
540	0.2370977662
541	0.2370853415
542	0.2370783703
543	0.2370687115
544	0.237055768
545	0.2370515879
546	0.2370361752
547	0.2370288287
548	0.2370181434
549	0.2370102631
550	0.2369992936
551	0.2369898556
552	0.2369753677
553	0.2369654046
554	0.2369575438
555	0.2369492355
556	0.2369453259
557	0.2369322568
558	0.2369198613
559	0.2369112607
560	0.2369020275
561	0.2368943145
562	0.2368871215
563	0.2368738644
564	0.236862741
565	0.2368497682
566	0.2368406699
567	0.2368252286
568	0.236819718
569	0.2368167134
570	0.236808956
571	0.2367994971
572	0.2367943348
573	0.2367813387
574	0.2367703333
575	0.2367638438
576	0.2367571214
577	0.2367412035
578	0.2367303307
579	0.236717858
580	0.2367066569
581	0.2366958501
582	0.2366834867
583	0.2366761994
584	0.2366686645
585	0.2366546346
586	0.2366468208
587	0.2366415968
588	0.2366366536
589	0.2366285641
590	0.2366175882
591	0.2366118677
592	0.236600036
593	0.2365892202
594	0.2365832092
595	0.2365748117
596	0.2365644997
597	0.2365488242
598	0.2365426471
599	0.2365332917
600	0.2365243805
601	0.2365106779
602	0.2365081771
603	0.2364993252
604	0.2364892873
605	0.2364802473
606	0.2364718389
607	0.2364584063
608	0.2364488416
609	0.2364381602
610	0.2364265077
611	0.2364166608
612	0.2364093307
613	0.2363964401
614	0.23638852
615	0.236383319
616	0.2363690731
