iter	Passed	Remaining
400	33218	49621
401	33317	49561
402	33398	49476
403	33485	49399
404	33565	49312
405	33650	49233
406	33732	49147
407	33819	49070
408	33901	48987
409	33983	48903
410	34065	48818
411	34149	48738
412	34228	48648
413	34318	48576
414	34395	48485
415	34470	48391
416	34546	48298
417	34627	48213
418	34711	48132
419	34790	48043
420	34871	47958
421	34953	47874
422	35033	47787
423	35110	47697
424	35207	47634
425	35307	47574
426	35406	47513
427	35486	47425
428	35563	47335
429	35661	47272
430	35770	47223
431	35865	47155
432	35948	47073
433	36033	46992
434	36112	46905
435	36194	46820
436	36276	46736
437	36357	46649
438	36445	46573
439	36526	46487
440	36605	46400
441	36685	46313
442	36766	46227
443	36850	46146
444	36928	46056
445	37011	45973
446	37093	45889
447	37182	45814
448	37266	45731
449	37341	45639
450	37427	45559
451	37512	45479
452	37591	45392
453	37675	45310
454	37751	45218
455	37834	45135
456	37916	45051
457	37999	44969
458	38077	44879
459	38155	44791
460	38241	44711
461	38323	44628
462	38409	44547
463	38487	44459
464	38569	44375
465	38646	44286
466	38731	44205
467	38812	44119
468	38889	44030
469	38964	43938
470	39043	43851
471	39120	43762
472	39203	43679
473	39286	43595
474	39368	43513
475	39451	43429
476	39536	43348
477	39615	43262
478	39699	43180
479	39783	43099
480	39859	43008
481	39941	42925
482	40020	42838
483	40099	42751
484	40183	42669
485	40263	42582
486	40344	42498
487	40424	42412
488	40504	42327
489	40591	42248
490	40674	42165
491	40775	42101
492	40886	42047
493	40984	41979
494	41065	41895
495	41145	41809
496	41222	41719
497	41303	41635
498	41384	41550
499	41493	41493
500	41576	41410
501	41658	41326
502	41740	41242
503	41823	41160
504	41909	41079
505	41990	40994
506	42069	40907
507	42149	40822
508	42227	40734
509	42307	40648
510	42388	40563
511	42470	40479
512	42552	40396
513	42632	40309
514	42718	40230
515	42799	40145
516	42880	40060
517	42961	39975
518	43039	39888
519	43126	39809
520	43208	39725
521	43290	39641
522	43369	39554
523	43450	39470
524	43527	39382
525	43609	39298
526	43689	39212
527	43773	39130
528	43855	39047
529	43937	38963
530	44014	38875
531	44098	38793
532	44178	38708
533	44254	38619
534	44333	38532
535	44414	38448
536	44494	38362
537	44577	38280
538	44661	38198
539	44739	38111
540	44821	38027
541	44898	37940
542	44981	37857
543	45056	37768
544	45138	37684
545	45221	37601
546	45304	37519
547	45382	37431
548	45460	37345
549	45541	37261
550	45625	37179
551	45705	37094
552	45788	37011
553	45870	36928
554	45953	36845
555	46038	36764
556	46122	36682
557	46201	36597
558	46279	36510
559	46360	36425
560	46441	36341
561	46523	36258
562	46611	36179
563	46692	36095
564	46770	36009
565	46849	35923
566	46927	35837
567	47007	35752
568	47083	35664
569	47168	35583
570	47253	35501
571	47331	35415
572	47414	35333
573	47491	35246
574	47571	35161
575	47650	35076
576	47734	34994
577	47813	34908
578	47895	34825
579	47976	34741
580	48059	34658
581	48146	34579
582	48223	34492
583	48305	34409
584	48388	34327
585	48470	34243
586	48554	34161
587	48634	34077
588	48719	33995
589	48799	33911
590	48879	33826
591	48962	33744
592	49046	33662
593	49129	33579
594	49211	33496
595	49295	33415
596	49377	33331
597	49453	33244
598	49556	33175
599	49633	33088
600	49712	33003
601	49791	32918
602	49877	32838
603	49956	32752
604	50039	32670
605	50119	32585
606	50213	32510
607	50288	32422
608	50370	32339
609	50453	32257
610	50532	32171
611	50614	32089
612	50702	32009
613	50781	31924
614	50864	31842
615	50945	31758
616	51023	31672
617	51101	31586
618	51183	31503
619	51268	31422
620	51347	31337
621	51428	31254
622	51511	31171
623	51590	31086
624	51671	31002
625	51751	30918
626	51833	30835
627	51911	30749
628	51988	30664
629	52097	30596
630	52212	30533
631	52307	30457
632	52386	30372
633	52466	30288
634	52544	30202
635	52630	30121
636	52709	30036
637	52788	29952
638	52869	29868
639	52946	29782
640	53030	29700
641	53113	29617
642	53199	29536
643	53284	29455
644	53366	29372
645	53445	29287
646	53525	29203
647	53605	29118
648	53688	29036
649	53774	28955
650	53853	28870
651	53936	28787
652	54016	28703
653	54094	28618
654	54176	28535
655	54256	28451
656	54340	28369
657	54417	28283
658	54499	28201
659	54579	28116
660	54666	28036
661	54751	27954
662	54832	27871
663	54910	27786
664	54993	27703
665	55079	27622
666	55164	27540
667	55245	27457
668	55322	27371
669	55401	27287
670	55483	27204
671	55561	27119
672	55647	27038
673	55726	26953
674	55811	26871
675	55895	26790
676	55973	26705
677	56056	26622
678	56134	26537
679	56216	26455
680	56304	26374
681	56381	26289
682	56462	26205
683	56544	26122
684	56626	26040
685	56710	25957
686	56789	25873
687	56870	25789
688	56948	25705
689	57029	25622
690	57111	25539
691	57190	25454
692	57277	25374
693	57359	25291
694	57445	25210
695	57525	25126
696	57604	25041
697	57692	24961
698	57779	24880
699	57871	24802
700	57975	24728
701	58074	24652
702	58156	24569
703	58244	24489
704	58361	24420
705	58465	24346
706	58569	24272
707	58657	24191
708	58739	24108
709	58823	24026
710	58911	23945
711	58992	23861
712	59069	23776
713	59149	23692
714	59233	23610
715	59313	23526
716	59397	23444
717	59478	23360
718	59561	23277
719	59641	23193
720	59722	23110
721	59810	23029
722	59888	22944
723	59969	22861
724	60048	22777
725	60128	22693
726	60216	22612
727	60298	22528
728	60380	22446
729	60458	22361
730	60541	22278
731	60622	22194
732	60701	22111
733	60795	22032
734	60874	21947
735	60955	21864
736	61032	21779
737	61116	21697
738	61196	21613
739	61274	21528
740	61358	21446
741	61444	21364
742	61523	21280
743	61599	21195
744	61685	21113
745	61765	21030
746	61845	20946
747	61927	20863
748	62011	20781
749	62114	20704
750	62220	20629
751	62314	20550
752	62394	20466
753	62481	20385
754	62558	20300
755	62644	20218
756	62724	20134
757	62803	20050
758	62880	19966
759	62963	19883
760	63045	19800
761	63127	19716
762	63204	19632
763	63282	19548
764	63362	19464
765	63442	19380
766	63530	19299
767	63614	19217
768	63698	19134
769	63781	19051
770	63859	18967
771	63946	18885
772	64034	18804
773	64122	18723
774	64206	18640
775	64288	18557
776	64368	18473
777	64453	18391
778	64536	18308
779	64617	18225
780	64698	18142
781	64777	18058
782	64861	17975
783	64954	17895
784	65042	17814
785	65131	17732
786	65237	17656
787	65335	17577
788	65429	17497
789	65527	17418
790	65617	17337
791	65704	17255
792	65790	17173
793	65878	17091
794	65958	17008
795	66041	16925
796	66119	16841
797	66206	16758
798	66286	16675
799	66370	16592
800	66454	16509
801	66534	16426
802	66617	16343
803	66700	16260
804	66784	16177
805	66866	16094
806	66947	16010
807	67026	15927
808	67107	15843
809	67189	15760
810	67272	15677
811	67351	15593
812	67437	15511
813	67516	15427
814	67597	15344
815	67675	15260
816	67757	15177
817	67837	15093
818	67915	15009
819	67993	14925
820	68077	14842
821	68163	14760
822	68246	14677
823	68328	14594
824	68406	14510
825	68485	14426
826	68564	14342
827	68651	14260
828	68736	14178
829	68819	14095
830	68899	14012
831	68979	13928
832	69063	13845
833	69140	13761
834	69219	13678
835	69299	13594
836	69384	13512
837	69460	13427
838	69541	13344
839	69629	13262
840	69706	13178
841	69785	13095
842	69869	13012
843	69950	12929
844	70028	12845
845	70109	12762
846	70191	12679
847	70275	12596
848	70358	12513
849	70440	12430
850	70518	12346
851	70606	12265
852	70688	12181
853	70765	12098
854	70844	12014
855	70927	11931
856	71008	11848
857	71085	11764
858	71167	11681
859	71247	11598
860	71329	11515
861	71406	11431
862	71489	11348
863	71570	11265
864	71654	11183
865	71732	11099
866	71813	11016
867	71895	10933
868	71973	10849
869	72049	10766
870	72132	10683
871	72212	10600
872	72294	10517
873	72373	10433
874	72451	10350
875	72536	10267
876	72617	10184
877	72701	10102
878	72780	10018
879	72859	9935
880	72940	9852
881	73021	9769
882	73106	9686
883	73185	9603
884	73268	9520
885	73351	9438
886	73433	9355
887	73512	9271
888	73598	9189
889	73680	9106
890	73758	9023
891	73842	8940
892	73924	8857
893	74008	8775
894	74091	8692
895	74171	8609
896	74253	8526
897	74331	8443
898	74414	8360
899	74495	8277
900	74581	8194
901	74661	8111
902	74739	8028
903	74816	7945
904	74895	7861
905	74979	7779
906	75060	7696
907	75139	7613
908	75218	7530
909	75299	7447
910	75380	7364
911	75461	7281
912	75542	7198
913	75624	7115
914	75705	7032
915	75791	6950
916	75871	6867
917	75952	6784
918	76047	6702
919	76131	6620
920	76216	6537
921	76294	6454
922	76379	6371
923	76464	6289
924	76548	6206
925	76633	6124
926	76719	6041
927	76798	5958
928	76879	5875
929	76959	5792
930	77039	5709
931	77124	5627
932	77205	5544
933	77287	5461
934	77367	5378
935	77445	5295
936	77526	5212
937	77607	5129
938	77687	5046
939	77769	4964
940	77848	4881
941	77926	4798
942	78010	4715
943	78091	4632
944	78172	4549
945	78252	4466
946	78330	4383
947	78407	4300
948	78489	4218
949	78568	4135
950	78649	4052
951	78728	3969
952	78809	3886
953	78890	3803
954	78973	3721
955	79056	3638
956	79135	3555
957	79213	3472
958	79292	3389
959	79375	3307
960	79452	3224
961	79534	3141
962	79619	3059
963	79698	2976
964	79784	2893
965	79862	2810
966	79945	2728
967	80032	2645
968	80115	2563
969	80196	2480
970	80277	2397
971	80355	2314
972	80438	2232
973	80520	2149
974	80599	2066
975	80679	1983
976	80756	1901
977	80836	1818
978	80918	1735
979	80996	1652
980	81080	1570
981	81162	1487
982	81244	1405
983	81324	1322
984	81405	1239
985	81487	1157
986	81567	1074
987	81647	991
988	81730	909
989	81809	826
990	81890	743
991	81970	661
992	82049	578
993	82126	495
994	82205	413
995	82285	330
996	82364	247
997	82442	165
998	82526	82
999	82608	0
