iter	Passed	Remaining
0	74	7337
1	174	8570
2	233	7564
3	333	8006
4	428	8150
5	508	7960
6	620	8237
7	700	8050
8	795	8039
9	879	7915
10	974	7882
11	1073	7870
12	1153	7720
13	1248	7670
14	1332	7548
15	1388	7288116	1513	7389
17	1586	7228
18	1676	7145
19	1776	7104
20	1845	6943
21	1912	6779
22	1997	6687223	2069	6554
24	2147	6441
25	2170	6176
26	2283	6174
27	2381	6122
28	2430	5950
29	2554	5961
30	2649	5896
31	2752	5849
32	2842	5770
33	2947	5721
34	3080	5720
35	3172	5640
36	3194	5438
37	3275	5343
38	3373	5277
39	3440	5160
40	3509	5050
41	3572	4933442	3653	4843443	3717	4731444	3792	4635445	3882	4557446	3964	4470447	4050	4387448	4118	4286449	4197	4197550	4270	4102551	4362	4026552	4427	3926553	4520	3851
	4351	3560
55	4410	3465
